rdbms_id,country_name,date_local,vendor_id,customer_id,gmv_local,is_voucher_used,is_successful_order
18,Taiwan,2012-10-02,2870,3983,713.7,FALSE,FALSE
18,Taiwan,2012-10-02,2870,3977,629.2,FALSE,TRUE
18,Taiwan,2012-10-02,2870,3010,270.3,FALSE,FALSE
18,Taiwan,2012-10-02,3812,3983,551.1,FALSE,FALSE
18,Taiwan,2012-10-02,3812,3524,45,FALSE,TRUE
15,Singapore,2012-10-02,13,4322,119.339,FALSE,TRUE
17,Thailand,2012-10-02,227,1647,576,FALSE,TRUE
17,Thailand,2012-10-02,227,1885,815.8605,FALSE,TRUE
17,Thailand,2012-10-02,227,326,41,FALSE,TRUE
17,Thailand,2012-10-02,227,47,225.4,FALSE,TRUE
15,Singapore,2012-10-02,941,3771,39.06,FALSE,TRUE
15,Singapore,2012-10-02,941,462,50.578,FALSE,TRUE
18,Taiwan,2014-10-02,3812,15797,1228.5,FALSE,TRUE
18,Taiwan,2014-10-02,3812,34799,732.435,FALSE,TRUE
18,Taiwan,2014-10-02,3812,15089,2108.41,FALSE,TRUE
18,Taiwan,2014-10-02,3812,17145,1783.3,FALSE,TRUE
18,Taiwan,2014-10-02,3812,39968,4029.62,FALSE,TRUE
18,Taiwan,2014-10-02,3812,26270,1521,FALSE,TRUE
18,Taiwan,2014-10-02,3812,38333,717.06,FALSE,TRUE
18,Taiwan,2014-10-02,3812,23726,267.12,FALSE,TRUE
18,Taiwan,2014-10-02,3812,43010,134.2,FALSE,TRUE
18,Taiwan,2014-10-02,2870,43004,234.53,FALSE,TRUE
18,Taiwan,2014-10-02,2870,43008,2532.33,FALSE,FALSE
18,Taiwan,2014-10-02,2870,29259,17.76,FALSE,TRUE
18,Taiwan,2014-10-02,3812,42962,19.59,FALSE,TRUE
18,Taiwan,2014-10-02,3812,42901,332.15,FALSE,FALSE
18,Taiwan,2014-10-02,3812,11739,21.925,FALSE,TRUE
15,Singapore,2014-10-02,13,120786,35.4048,FALSE,TRUE
15,Singapore,2014-10-02,13,121782,114.8674,FALSE,TRUE
15,Singapore,2014-10-02,13,61371,2.149,FALSE,TRUE
15,Singapore,2014-10-02,13,2163080,69.222,FALSE,TRUE
15,Singapore,2014-10-02,13,105566,21.528,FALSE,TRUE
15,Singapore,2014-10-02,13,121235,19.355,FALSE,TRUE
15,Singapore,2014-10-02,606,58066,29.829,FALSE,TRUE
15,Singapore,2014-10-02,606,113394,9.676,FALSE,TRUE
15,Singapore,2014-10-02,606,110393,14.26,FALSE,TRUE
15,Singapore,2014-10-02,606,78626,5.35,FALSE,TRUE
15,Singapore,2014-10-02,606,46239,23.244,FALSE,FALSE
15,Singapore,2014-10-02,606,121222,27.936,FALSE,FALSE
15,Singapore,2014-10-02,606,92231,17.52,FALSE,FALSE
15,Singapore,2014-10-02,606,33612,18.43,FALSE,TRUE
15,Singapore,2014-10-02,606,92231,49.932,FALSE,FALSE
15,Singapore,2014-10-02,13,31217,40.898,FALSE,TRUE
15,Singapore,2014-10-02,13,45573,61.815,FALSE,TRUE
15,Singapore,2014-10-02,13,48314,33.4768,FALSE,TRUE
15,Singapore,2014-10-02,13,35555,33.0792,FALSE,TRUE
15,Singapore,2014-10-02,13,87690,76.6675,FALSE,TRUE
15,Singapore,2014-10-02,13,68409,32.76,FALSE,TRUE
15,Singapore,2014-10-02,13,121559,70.56,FALSE,TRUE
15,Singapore,2014-10-02,13,114285,9.72,FALSE,TRUE
15,Singapore,2014-10-02,1020,121660,16.8,FALSE,TRUE
15,Singapore,2014-10-02,1020,88301,38.48,FALSE,TRUE
15,Singapore,2014-10-02,1020,28753,14.43,FALSE,TRUE
15,Singapore,2014-10-02,1020,74310,18.2,FALSE,TRUE
15,Singapore,2014-10-02,1020,4446,93.786,FALSE,TRUE
15,Singapore,2014-10-02,1020,121915,17.85,FALSE,FALSE
15,Singapore,2014-10-02,1020,39267,12.88,FALSE,TRUE
15,Singapore,2014-10-02,1020,52478,112.8824,FALSE,TRUE
15,Singapore,2014-10-02,1020,46175,77.244,FALSE,TRUE
